title,iLibraryUrl,identifier,dateOfPublication
Main Determinants and Impacts of Foreign Direct Investment on China's Economy,finance-and-investment/main-determinants-and-impacts-of-foreign-direct-investment-on-china-s-economy_321677880185,321677880185,2000-12-01
Controlling Public Spending in Iceland,economics/controlling-public-spending-in-iceland_641127305475,641127305475,2003-06-19
Targeting R&D,science-and-technology/targeting-r-d_072772055603,072772055603,2003-07-24
Rapport sur les contrats régissant les flux transfrontières de données dans le cadre plus général des mécanismes de protection de la vie privée sur les réseaux mondiaux,science-and-technology/rapport-sur-les-contrats-regissant-les-flux-transfrontieres-de-donnees-dans-le-cadre-plus-general-des-mecanismes-de-protection-de-la-vie-privee-sur-les-reseaux-mondiaux_233286436484,233286436484,2001-11-02
Does Human Capital Matter for Growth in OECD Countries?,economics/does-human-capital-matter-for-growth-in-oecd-countries_424300244276,424300244276,2001-01-31
Productivity Growth in ICT-producing and ICT-using Industries,science-and-technology/productivity-growth-in-ict-producing-and-ict-using-industries_774576300121,774576300121,2001-06-18
Les approaches bilatérales et régionales adoptées pour réduire les obstacles techniques au commerce convergent-elles vers le système commercial multilatéral ?,trade/les-approaches-bilaterales-et-regionales-adoptees-pour-reduire-les-obstacles-techniques-au-commerce-convergent-elles-vers-le-systeme-commercial-multilateral_242271213605,242271213605,2008-01-07
Cadre d'analyse coût-avantages pour l'évaluation des mesures non tarifaires s'appliquant aux échanges agroalimentaires,agriculture-and-food/cadre-d-analyse-cout-avantages-pour-l-evaluation-des-mesures-non-tarifaires-s-appliquant-aux-echanges-agroalimentaires_218778445444,218778445444,2009-12-17
Policies to Improve Turkey's Resilience to Financial Market Shocks,economics/policies-to-improve-turkey-s-resilience-to-financial-market-shocks_365034647173,365034647173,2006-11-29
"In Slovenia, Šoštanj Primary School Collaborates with Its Community",education/in-slovenia-sostanj-primary-school-collaborates-with-its-community_234273675658,234273675658,2008-10-01
Global Effects of the European Carbon Tax,economics/global-effects-of-the-european-carbon-tax_450384002553,450384002553,1992-01-01
Raising Education Outcomes in Spain,economics/raising-education-outcomes-in-spain_226865111178,226865111178,2009-02-17
Raising the Speed Limit,economics/raising-the-speed-limit_561481176503,561481176503,2000-10-31
Teaching Environmentally Sustainable Design in Schools,education/teaching-environmentally-sustainable-design-in-schools_484581157383,484581157383,1998-10-01
The European Union's Trade Policies and their Economic Effects,economics/the-european-union-s-trade-policies-and-their-economic-effects_880866526574,880866526574,1998-04-24
The Relationship between Seaports and the Inter-Modal Hinterland in Light of Global Supply Chains,transport/the-relationship-between-seaports-and-the-inter-modal-hinterland-in-light-of-global-supply-chains_235371341338,235371341338,2008-03-01
Renforcer les incitations à une meilleure performance du système éducatif en France,economics/renforcer-les-incitations-a-une-meilleure-performance-du-systeme-educatif-en-france_127136850821,127136850821,2007-08-01
Aid Volatility and Macro Risks in Low-Income Countries,development/aid-volatility-and-macro-risks-in-low-income-countries_227667286811,227667286811,2008-11-01
Mark-Up Ratios in Manufacturing Industries,economics/mark-up-ratios-in-manufacturing-industries_007750682315,007750682315,1996-01-01
Environmental Goods,trade/environmental-goods_274615168441,274615168441,2005-11-29
Defined-Contribution (DC) Arrangements in Anglo-Saxon Countries,finance-and-investment/defined-contribution-dc-arrangements-in-anglo-saxon-countries_224843410213,224843410213,2009-03-01
Management Practices and Unemployment,employment/management-practices-and-unemployment_724414031614,724414031614,1995-01-01
"Le City and Islington College, au Royaume-Uni",education/le-city-and-islington-college-au-royaume-uni_747125645521,747125645521,2002-02-01
Avec ou sans fil ?,education/avec-ou-sans-fil_834347171130,834347171130,2000-06-01
Capturing Nanotechnology's Current State of Development via Analysis of Patents,science-and-technology/capturing-nanotechnology-s-current-state-of-development-via-analysis-of-patents_168778071481,168778071481,2007-05-23
La micro-finance,development/la-micro-finance_245065142461,245065142461,2006-11-01
Electronic Commerce,science-and-technology/electronic-commerce_236868513480,236868513480,1998-01-01
Taux d'intérêt réels et perspectives de croissance durable,economics/taux-d-interet-reels-et-perspectives-de-croissance-durable_122754857224,122754857224,1985-05-01
Perspectives économiques en Afrique 2006,development/perspectives-economiques-en-afrique-2006_246170478601,246170478601,2006-05-01
Structural Policies and Growth,economics/structural-policies-and-growth_877032331705,877032331705,2003-05-27
Concurrence sur les marchés de produits et performance économique en Suisse,economics/concurrence-sur-les-marches-de-produits-et-performance-economique-en-suisse_624866161166,624866161166,2004-03-22
Biotechnology and Developing Country Agriculture,development/biotechnology-and-developing-country-agriculture_236802368512,236802368512,1990-06-01
Tax Reform for Efficiency and Fairness in Canada,economics/tax-reform-for-efficiency-and-fairness-in-canada_240634153012,240634153012,2008-08-12
The Spectrum Dividend,science-and-technology/the-spectrum-dividend_231084750678,231084750678,2007-01-22
"ICT, E-Business and Small and Medium Enterprises",science-and-technology/ict-e-business-and-small-and-medium-enterprises_232556551425,232556551425,2004-06-03
The Economics and Politics of Transition to an Open Market Economy,development/the-economics-and-politics-of-transition-to-an-open-market-economy_487223334520,487223334520,1999-10-01
"Les migrants, partenaires de la coopération internationale",development/les-migrants-partenaires-de-la-cooperation-internationale_662213801725,662213801725,1995-07-01
Un lieu d'accueil pour les étudiants handicapés,education/un-lieu-d-accueil-pour-les-etudiants-handicapes_861552006056,861552006056,2000-02-01
Les entreprises de formation en Autriche,education/les-entreprises-de-formation-en-autriche_442244201242,442244201242,1999-10-01
Structural Adjustment and Moroccan Agriculture,development/structural-adjustment-and-moroccan-agriculture_217714011805,217714011805,1992-06-01
School Security Assessment Programme in Australia,education/school-security-assessment-programme-in-australia_253568064544,253568064544,2007-03-01
Making Codes of Corporate Conduct Work,finance-and-investment/making-codes-of-corporate-conduct-work_525708844763,525708844763,2001-02-01
Technology Transfer and the Economic Implications of the Strengthening of Intellectual Property Rights in Developing Countries,trade/technology-transfer-and-the-economic-implications-of-the-strengthening-of-intellectual-property-rights-in-developing-countries_244764462745,244764462745,2008-01-25
Russian Manufacturing and the Threat of ‘Dutch Disease',economics/russian-manufacturing-and-the-threat-of-dutch-disease_322823013852,322823013852,2007-01-25
Increases in Business Investment Rates in OECD Countries in the 1990s,economics/increases-in-business-investment-rates-in-oecd-countries-in-the-1990s_688436342124,688436342124,2002-04-15
Les équipements éducatifs pour les jeunes enfants,education/les-equipements-educatifs-pour-les-jeunes-enfants_405185721638,405185721638,2006-11-01
Identifying Determinants of Germany's International Price Competitiveness,economics/identifying-determinants-of-germany-s-international-price-competitiveness_407563327012,407563327012,2006-11-08
The Contribution of Economic Geography to GDP Per Capita,economics/the-contribution-of-economic-geography-to-gdp-per-capita_242216186836,242216186836,2008-04-14
Skilled Voices?,education/skilled-voices_050662025403,050662025403,2007-11-23
Encouraging Environmentally Sustainable Growth in Sweden,economics/encouraging-environmentally-sustainable-growth-in-sweden_710585417734,710585417734,2001-03-08
Mind the Gaps: Managing Mutual Dependence in Relations among Levels of Government,governance/mind-the-gaps-managing-mutual-dependence-in-relations-among-levels-of-government_221253707200,221253707200,2009-10-05
Au lendemain de la crise asiatique,development/au-lendemain-de-la-crise-asiatique_044360821141,044360821141,1999-01-16
Assessment and Innovation in Education,education/assessment-and-innovation-in-education_222814543073,222814543073,2009-07-16
"Policy Initiatives Concerning Diet, Health and Nutrition",,222624826014,2008-01-01
Le banquier démocrate,development/le-banquier-democrate_244033353174,244033353174,2007-03-01
The Supply of Physician Services in OECD Countries,social-issues-migration-health/the-supply-of-physician-services-in-oecd-countries_608402211700,608402211700,2006-01-16
The Effect of Financial Crises on Potential Output,economics/the-effect-of-financial-crises-on-potential-output_224126122024,224126122024,2009-05-19
Transport Outlook 2008,transport/transport-outlook-2008_235320486412,235320486412,2008-05-01
Exchange Rate Policy in Advanced Commodity-Exporting Countries,economics/exchange-rate-policy-in-advanced-commodity-exporting-countries_566103428800,566103428800,1990-07-01
Measurement of Non-Tariff Barriers,economics/measurement-of-non-tariff-barriers_568705648470,568705648470,1997-01-01
Les rôles des infrastructures de télécommunication et d'information dans le développement du commerce électronique,science-and-technology/les-roles-des-infrastructures-de-telecommunication-et-d-information-dans-le-developpement-du-commerce-electronique_236355582314,236355582314,2001-01-01
Smallholder Adjustment in Middle-Income Countries,agriculture-and-food/smallholder-adjustment-in-middle-income-countries_228583166164,228583166164,2008-12-01
Globalisation in Developing Countries,development/globalisation-in-developing-countries_168464882170,168464882170,2003-11-01
The Distribution Sector in the United Kingdom,economics/the-distribution-sector-in-the-united-kingdom_142753373783,142753373783,1993-04-01
Espaces scolaires et violence,education/espaces-scolaires-et-violence_821126760113,821126760113,2000-10-01
How Globalisation Improves Governance,development/how-globalisation-improves-governance_774554632487,774554632487,2001-11-01
